asgardstrand,59.348889,10.4675,20
ashaug,62.383333,10.933333,6
asheim,60.566667,5.5,7
asjer,59.383333,10.2,20
asjorda,67.75,15.05,9
ask,60.083333,11.033333,1
ask i nordhordaland,60.48,5.214722,7
askard,63.016667,8.5,8
askedalen,58.266667,7.95,19
askeland,60.466667,5.466667,7
asker,59.833333,10.433333,1
askeroen,58.611944,9.061111,2
askeroy,58.611944,9.061111,2
askevag,62.983333,7.083333,8
askilt,59.433333,9.133333,17
askim,60.4,10.45,11
askjer,59.383333,10.2,20
askjer holt,59.383333,10.2,20
askland,58.883333,8.3,2
asklund,63.583333,10.4,10
askollen,59.718611,10.259722,4
askosberget,60.35,12.516667,6
askoy,60.4,5.183333,7
askrova,61.5,4.95,15
askroven,61.5,4.95,15
askvag,62.983333,7.083333,8
askvik,60.177222,5.380833,7
askvika,59.383333,5.95,14
asland,59.766667,9.816667,4
aslandsgrend,59.233333,8.05,17
aslia,59.766667,9.816667,4
asmul,61.233333,5.1,15
asmulen,64.65,12.65,10
asmundvaag,63.583333,8.65,16
asmundvag,61.983333,5.183333,15
asnes,60.6,11.966667,6
asp,64.066667,11.5,10
aspa,63.016667,7.9,8
aspaker,68.718889,16.535556,18
aspdalen,66.5,13.066667,9
aspedammen,59.066667,11.5,13
aspenaes,61.766667,5.1,15
aspenes,61.766667,5.1,15
aspneset,64.283333,13.65,10
asseim,58.833333,5.7,14
assheim,58.833333,5.7,14
asskard,63.016667,8.5,8
assveet,64.683333,12.733333,10
astveit,60.45,5.316667,7
asvangan,62.333333,10.8,6
asvik,66.4,13.166667,9
atange,58.866667,9.35,17
atangen,58.866667,9.35,17
atnabru,61.866667,10.233333,6
atnafoss,61.866667,10.233333,6
atnaoset,61.733333,10.816667,6
atnbrua,61.866667,10.233333,6
atnfoss,61.866667,10.233333,6
atnosen,61.733333,10.816667,6
atnoset,61.733333,10.816667,6
atteras,61.166667,5.333333,15
aufles,65.783333,13.233333,9
augedals bro,60.416667,10.5,11
augedalsbru,60.416667,10.5,11
augland,58.116667,7.966667,19
auglend,58.866667,5.916667,14
auka,63.766667,8.75,16
aukan,63.766667,8.75,16
aukland,59.066667,6.666667,14
auklend,58.866667,5.916667,14
aukner,60.233333,11.716667,6
aukra,62.783333,6.9,8
aulestad,61.216667,10.283333,11
auli,60.033333,11.4,1
aulstad,61.266667,10.016667,11
auma,62.216667,10.666667,6
auna,68.831389,16.336389,18
aune,63.033333,9.1,8
aunehagan,62.933333,9.766667,16
aunehagen,62.933333,9.766667,16
aunet,65.266667,12.733333,9
aunevold,62.933333,11.35,16
aunevollen,62.933333,11.35,16
aunfoss,64.616667,12.566667,10
auran,63.483333,10.8,10
aurdal,60.183333,10.366667,4
aurdalsbyen,60.933333,9.4,11
aure,62.4,6.6,8
aursfjordbotn,69.25,18.7,18
aursfjordgard,69.3,18.666667,18
aurskog,59.916667,11.433333,1
aurstad,60.166667,11.35,1
ausevik,61.533333,5.266667,15
ausland,58.166667,7.7,19
ausnes,62.633333,6.266667,8
austad,58.95,7.683333,2
austadal,60.433056,5.231944,7
austadberget,60.55,12.083333,6
austafjord,64.916667,10.933333,10
austana,58.833333,8.1,2
austbo,65.933333,12.35,9
austbo i helgeland,65.933333,12.35,9
austborg,64.116667,13.983333,10
austbygd,60.033333,8.833333,17
austbygdi,60.033333,8.833333,17
austdalen,60.433056,5.231944,7
austein,69.6,18.05,18
austena,58.833333,8.1,2
austera,58.631944,8.963056,2
austerbygda,65.833333,13.3,9
austerbygden,65.833333,13.3,9
austerelv,70.5,30.1,5
austerheim,61.166667,5.95,15
austeroya,58.216667,8.366667,2
austertana,70.466667,28.433333,5
austervefsen,65.516667,13.55,9
austervefsn,65.516667,13.55,9
austevoll,60.1,5.166667,7
austgulen,60.983333,5.333333,7
austmark,60.1,12.35,6
austmarka,60.1,12.35,6
austnes,62.633333,6.266667,8
austraat,58.85,5.75,14
austrat,63.716667,9.75,16
austratt,58.85,5.75,14
austre kaldvag,68.043611,15.747222,9
austre kanstad,68.466667,15.9,9
austre risfjord,70.733333,29.266667,5
austrheim,59.3,4.916667,14
austvatn,60.383333,11.7,6
austvoll,60.433333,9.4,4
avedal,61.15,5.533333,15
aven,61.15,5.616667,15
avesland,58.6,7.9,2
avloisa,63.666667,8.566667,16
avlos,63.666667,8.566667,16
avloysa,63.666667,8.566667,16
avtret,63.2,10.966667,16
baafjellmoen,65.533333,13.4,9
baarnaas,60.2,10.0,4
baarsaet,63.116667,8.266667,8
baarset,63.216667,8.4,8
baaserud,59.416667,11.233333,13
baasfjord,70.632222,29.699722,5
baasheim,60.083333,9.466667,4
baasmo,66.333333,14.1,9
baasmoen,66.333333,14.1,9
baatsto,59.724167,10.518056,4
badderbotn,69.85,22.033333,18
badderbotten,69.85,22.033333,18
badderen,69.85,22.033333,18
baddern,69.85,22.033333,18
badstuvik,63.533333,9.15,16
badstuvika,63.533333,9.15,16
baekkedal,60.45,11.183333,1
baekkelaget,60.783333,11.1,6
baekken,63.666667,8.566667,16
baekos,62.65,11.65,16
baera,60.65,8.666667,4
baerums jernvaerk,59.95,10.5,1
baerums verk,59.95,10.5,1
baever,59.7,9.616667,4
baeverfjord,63.033333,8.583333,8
baevkopp,70.2,24.916667,5
bafjellmoen,65.533333,13.4,9
bagervaag,60.427222,5.236111,7
bagn,60.816667,9.566667,11
bagne,60.516667,6.95,7
bak,63.25,9.783333,16
bakarvaagen,60.427222,5.236111,7
bakarvag,60.427222,5.236111,7
bakarvagen,60.427222,5.236111,7
bakervag,60.427222,5.236111,7
bakka,60.15,6.25,7
bakkasund,60.25,6.016667,7
bakke,60.25,6.016667,7
bakkeby,69.416667,18.566667,18
bakkehaug,68.344444,16.824167,9
bakkejord,69.133333,18.066667,18
bakkemo,69.341111,17.929722,18
bakken,58.4,7.916667,2
bakkerud,59.9,9.366667,4
bakkevoll,70.009167,21.615833,18
bakko,60.0,8.833333,17
balangrud,60.3,10.5,11
balestrand,61.2,6.533333,15
ballangen,68.335278,16.821111,9
ballangrud,60.3,10.5,11
balleshol,60.766667,10.866667,6
ballesvika,69.383333,17.133333,18
ballishol,60.766667,10.866667,6
ballset,66.833333,13.666667,9
ballstad,68.066667,13.55,9
balsfjord,69.316667,19.366667,18
balstad,68.066667,13.55,9
balstadt,68.066667,13.55,9
bamble,59.016667,9.566667,17
bamle,59.016667,9.566667,17
banakas,70.416667,28.233333,5
bandaksli,59.4,8.183333,17
bangstad,65.133333,12.533333,9
bangsund,64.4,11.4,10
banjakas,70.416667,28.233333,5
bankenes,69.883889,21.896944,18
barbogen,69.366667,17.0,18
barbu,58.463889,8.777778,2
bardal,66.216667,13.4,9
bardset,63.116667,8.266667,8
bardsletta,69.163889,17.776389,18
bardujord,68.8,18.533333,18
bardujorda,68.8,18.533333,18
barekstadlandet,61.666667,4.883333,15
barkaaker,59.316667,10.383333,20
barkaker,59.316667,10.383333,20
barkost,59.483333,10.183333,20
barlog,61.15,6.833333,15
barman,63.633333,8.85,16
barmen,61.999167,5.29,15
barnas,60.2,10.0,4
baroen,68.366667,16.166667,9
baroy,68.366667,16.166667,9
baroya,68.366667,16.166667,9
barse,63.216667,8.4,8
barset,63.116667,8.266667,8
barsnes,61.25,7.133333,15
barsnjargga,70.083333,28.75,5
barstad,62.35,6.25,8
barstadvik,62.35,6.25,8
barstrand,68.283333,14.266667,9
bartnes,64.05,11.25,10
